Date,Tube Position Number,Tube Position Text,KapaTag_Name,Tube Code,Original KapaTag_Name
11/18/2016 16:06,81,G9,KapaTag_94_G09,214279314,KapaTag_94
11/18/2016 16:06,82,G10,KapaTag_95_G10,214279306,KapaTag_95
11/18/2016 16:06,83,G11,KapaTag_96_G11,214279303,KapaTag_96
11/18/2016 16:06,84,G12,KapaTag_97_G12,214279316,KapaTag_97
11/18/2016 16:06,85,H1,KapaTag_99_H01,214279322,KapaTag_99
11/18/2016 16:06,86,H2,KapaTag_101_H02,214279339,KapaTag_101
11/18/2016 16:06,87,H3,KapaTag_102_H03,214279330,KapaTag_102
11/18/2016 16:06,88,H4,KapaTag_106_H04,214279344,KapaTag_106
11/18/2016 16:06,89,H5,KapaTag_107_H05,214279358,KapaTag_107
11/18/2016 16:06,90,H6,KapaTag_110_H06,214279370,KapaTag_110
11/18/2016 16:06,91,H7,KapaTag_111_H07,214279364,KapaTag_111
11/18/2016 16:06,92,H8,KapaTag_112_H08,214279362,KapaTag_112
11/18/2016 16:06,93,H9,KapaTag_113_H09,214279383,KapaTag_113
11/18/2016 16:06,94,H10,KapaTag_114_H10,214279380,KapaTag_114
11/18/2016 16:06,95,H11,KapaTag_115_H11,214279389,KapaTag_115
11/18/2016 16:06,96,H12,KapaTag_118_H12,214279394,KapaTag_118
